text,label
"I love this phone, it's fantastic",positive
"The camera is excellent and pictures are great",positive
"Absolutely wonderful experience and amazing service",positive
"Such a pleasant surprise, highly recommend it",positive
"The user interface is clean and easy to use",positive
"What a delightful movie, I enjoyed every minute",positive
"This book is inspiring and uplifting",positive
"Great taste and perfect texture",positive
"The trip was fantastic, we had a blast",positive
"Beautiful design and very comfortable",positive
"I hate how slow this is",negative
"The screen cracked within a day",negative
"Terrible service and rude employees",negative
"I'm disappointed and won't buy again",negative
"The instructions are confusing and useless",negative
"Worst purchase I've made this year",negative
"The food was cold and tasteless",negative
"Boring plot with predictable twists",negative
"Not worth the price at all",negative
"Customer support never replied",negative
